Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
INTA (0192),MAIN,INTA BINA GROUP BERHAD,Construction ,188.72m,0.35,8.25,4.29,13.46
IOICORP (1961),MAIN,IOI CORPORATION BERHAD,Plantation ,25.015b,3.98,28.61,2.76,7.48
IOIPG (5249),MAIN,IOI PROPERTIES GROUP BERHAD,Property ,11.948b,2.17,18.48,2.30,2.89
IQGROUP (5107),MAIN,IQ GROUP HOLDINGS BERHAD,Household Goods ,67.34m,0.77,16.11,0.00,3.25
IQZAN (7183),MAIN,IQZAN HOLDING BERHAD,Packaging Materials ,1.11m,0.01,-,0.00,-63.77
IREKA (8834),MAIN,IREKA CORPORATION BERHAD,Construction ,68.34m,0.30,-,0.00,-
IRIS (0010),ACE,IRIS CORPORATION BERHAD,Software ,248.80m,0.31,7.33,0.00,36.17
ITMAX (5309),MAIN,ITMAX SYSTEM BERHAD,Digital Services ,2.429b,2.36,38.37,0.51,18.64
ITRONIC (9393),MAIN,INDUSTRONICS BERHAD,Technology Equipment ,35.38m,0.05,-,0.00,-
IVORY (5175),MAIN,IVORY PROPERTIES GROUP BERHAD,Property ,34.31m,0.07,-,0.00,-74.41
IWCITY (1589),MAIN,ISKANDAR WATERFRONT CITY BERHAD,Property ,750.72m,0.82,-,0.00,-0.85
JADEM (7043),MAIN,JADE MARVEL GROUP BERHAD,Building Materials ,79.85m,0.18,-,0.00,-7.51
JADI (7223),MAIN,JADI IMAGING HOLDINGS BERHAD,Consumer Services ,76.97m,0.06,-,0.00,-29.33
JAG (0024),ACE,JAG BERHAD,Industrial Services ,202.92m,0.32,160.00,0.00,0.01
JAKS (4723),MAIN,JAKS RESOURCES BERHAD,Construction ,343.63m,0.15,21.97,0.00,0.99
JASKITA (8648),MAIN,JASA KITA BERHAD,"Industrial Materials, Components & Equipment ",60.69m,0.14,-,0.00,-0.57
JAYCORP (7152),MAIN,JAYCORP BERHAD,Household Goods ,209.99m,0.77,12.07,7.84,8.93
JCBNEXT (0058),MAIN,JCBNEXT BERHAD,Industrial Services ,211.25m,1.60,5.95,3.75,9.70
JCY (5161),MAIN,JCY INTERNATIONAL BERHAD,Technology Equipment ,552.95m,0.26,-,0.00,-8.83
JETSON (9083),MAIN,KUMPULAN JETSON BERHAD,Auto Parts ,68.33m,0.26,-,0.00,-
JFTECH (0146),MAIN,JF TECHNOLOGY BERHAD,Technology Equipment ,834.35m,0.90,90.91,1.11,6.88
JHM (0127),MAIN,JHM CONSOLIDATION BERHAD,Semiconductors ,342.39m,0.57,23.64,0.00,4.51
JIANKUN (8923),MAIN,JIANKUN INTERNATIONAL BERHAD,Property ,88.92m,0.18,-,0.00,-
JISHAN (03040),LEAP,JISHAN BERHAD,Packaging Materials ,122.28m,0.52,-,0.00,-
JKGLAND (6769),MAIN,JKG LAND BERHAD,Property ,227.49m,0.10,11.24,0.00,3.56
JOE (7096),MAIN,JOE HOLDING BERHAD,Auto Parts ,71.89m,0.24,-,0.00,-1.49
JOHAN (3441),MAIN,JOHAN HOLDINGS BERHAD,Other Financials ,58.40m,0.05,-,0.00,-17.85
JSB (5673),MAIN,JENTAYU SUSTAINABLES BERHAD,Industrial Services ,432.36m,0.99,-,0.00,-16.59
JTGROUP (0292),ACE,JATI TINGGI GROUP BERHAD,Construction ,129.29m,0.33,-,0.00,-
JTIASA (4383),MAIN,JAYA TIASA HOLDINGS BHD,Plantation ,1.353b,1.39,7.30,2.30,12.20
K1 (0111),ACE,K-ONE TECHNOLOGY BERHAD,Technology Equipment ,128.96m,0.16,387.50,0.00,0.29
KAB (0193),MAIN,KINERGY ADVANCEMENT BERHAD,Industrial Engineering ,695.25m,0.35,24.31,0.00,13.09
KAMDAR (8672),MAIN,KAMDAR GROUP (M) BERHAD,Retailers ,33.66m,0.17,-,0.00,-3.41
KANGER (0170),ACE,KANGER INTERNATIONAL BERHAD,Household Goods ,43.89m,0.06,-,0.00,-
KAREX (5247),MAIN,KAREX BERHAD,Personal Goods ,848.04m,0.81,45.22,0.62,3.96
KARYON (0054),MAIN,KARYON INDUSTRIES BERHAD,Chemicals ,85.63m,0.18,14.17,1.94,5.08
KAWAN (7216),MAIN,KAWAN FOOD BERHAD,Food & Beverages ,650.55m,1.79,21.59,2.35,7.68
KEINHIN (7199),MAIN,KEIN HING INTERNATIONAL BERHAD,Metals ,140.48m,1.29,9.54,1.55,8.50
KEN (7323),MAIN,KEN HOLDINGS BERHAD,Property ,120.78m,0.63,11.05,0.00,2.85
KENANGA (6483),MAIN,KENANGA INVESTMENT BANK BERHAD,Other Financials ,779.91m,1.06,10.74,6.60,6.67
KERJAYA (7161),MAIN,KERJAYA PROSPEK GROUP BERHAD,Construction ,2.268b,1.79,17.15,4.47,11.47
KESM (9334),MAIN,KESM INDUSTRIES BERHAD,Semiconductors ,267.12m,6.21,1444.19,0.97,0.05
KEYASIC (0143),MAIN,KEY ASIC BERHAD,Semiconductors ,62.91m,0.05,-,0.00,-9.52
KEYFIELD (5321),MAIN,KEYFIELD INTERNATIONAL BERHAD,Semiconductors ,-,0.00,-,-,-
KFIMA (6491),MAIN,KUMPULAN FIMA BERHAD,Diversified Industrials ,575.75m,2.04,9.15,5.88,6.70
KGB (0151),MAIN,KELINGTON GROUP BERHAD,Industrial Engineering ,1.829b,2.74,17.82,1.46,29.41
KGROUP (0036),ACE,KEY ALLIANCE GROUP BERHAD,Technology Equipment ,36.78m,0.01,-,0.00,-20.74
KGW (0282),ACE,KGW GROUP BERHAD,Transportation & Logistics Services ,79.66m,0.17,-,0.00,-
KHEESAN (6203),MAIN,KHEE SAN BERHAD,Food & Beverages ,22.65m,0.17,10.25,0.00,-
KHIND (7062),MAIN,KHIND HOLDINGS BERHAD,Household Goods ,110.56m,2.63,15.44,3.04,3.36
KHJB (0210),ACE,KIM HIN JOO (MALAYSIA) BERHAD,Retailers ,60.80m,0.16,-,3.75,-1.04
KIALIM (6211),MAIN,KIA LIM BERHAD,Building Materials ,48.00m,0.78,9.85,0.00,9.56
KIMHIN (5371),MAIN,KIM HIN INDUSTRY BERHAD,Building Materials ,85.59m,0.55,-,0.00,-11.56
KIMLUN (5171),MAIN,KIMLUN CORPORATION BERHAD,Construction ,346.32m,0.98,49.00,1.02,0.99
KIPREIT (5280),MAIN,KIP REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,553.67m,0.90,8.53,6.93,9.68
KITACON (5310),MAIN,KUMPULAN KITACON BERHAD,Construction ,325.00m,0.65,8.94,3.08,12.32
KJTS (0293),ACE,KJTS GROUP BERHAD,Industrial Services ,457.52m,0.67,-,0.00,-
KKB (9466),MAIN,KKB ENGINEERING BERHAD,Industrial Engineering ,482.17m,1.67,18.11,3.59,6.54
KLCC (5235SS),MAIN,KLCC PROPERTY HOLDINGS BERHAD,Real Estate Investment Trusts ,13.432b,7.44,14.42,5.44,6.98
KLCI1XI (0835EA),ETF,KENANGA KLCI DAILY (-1X) INVERSE ETF,N/A,-,1.80,-,-,-
KLCI2XL (0834EA),ETF,KENANGA KLCI DAILY 2X LEVERAGED ETF,N/A,-,1.93,-,-,-
KLK (2445),MAIN,KUALA LUMPUR KEPONG BERHAD,Plantation ,24.947b,22.70,40.36,2.64,4.29
KLUANG (2453),MAIN,KLUANG RUBBER COMPANY (MALAYA) BERHAD,Plantation ,288.06m,4.56,10.18,0.59,3.88
KMLOONG (5027),MAIN,KIM LOONG RESOURCES BERHAD,Plantation ,2.127b,2.18,14.40,6.88,17.01
KNM (7164),MAIN,KNM GROUP BERHAD,Other Energy Resources ,343.90m,0.09,-,0.00,-
KNUSFOR (5035),MAIN,KNUSFORD BERHAD,Industrial Services ,81.71m,0.82,8.44,0.00,4.27
KOBAY (6971),MAIN,KOBAY TECHNOLOGY BERHAD,"Industrial Materials, Components & Equipment ",538.20m,1.65,40.94,1.21,3.36
KOMARK (7017),MAIN,KOMARKCORP BERHAD,Packaging Materials ,34.64m,0.15,-,0.00,-
KOSSAN (7153),MAIN,KOSSAN RUBBER INDUSTRIES BERHAD,Health Care Equipment & Services ,5.065b,1.98,353.57,1.01,0.37
KOTRA (0002),MAIN,KOTRA INDUSTRIES BERHAD,Pharmaceuticals ,710.42m,4.79,12.72,5.32,20.36
KPJ (5878),MAIN,KPJ HEALTHCARE BERHAD,Health Care Providers ,8.646b,1.91,32.93,1.75,10.94
KPPROP (7077),MAIN,KERJAYA PROSPEK PROPERTY BERHAD,Property ,437.52m,0.81,4.74,3.70,9.13
KPS (5843),MAIN,KUMPULAN PERANGSANG SELANGOR BERHAD,Diversified Industrials ,437.97m,0.82,50.31,8.59,0.82
KPSCB (9121),MAIN,KPS CONSORTIUM BERHAD,Wood & Wood Products ,91.06m,0.56,5.24,0.00,5.16
KRETAM (1996),MAIN,KRETAM HOLDINGS BERHAD,Plantation ,1.420b,0.61,13.12,2.46,11.95
KRONO (0176),ACE,KRONOLOGI ASIA BERHAD,Digital Services ,315.39m,0.36,38.59,0.00,1.48
KSENG (3476),MAIN,KECK SENG (MALAYSIA) BERHAD,Diversified Industrials ,2.078b,5.75,8.63,2.43,8.74
KSL (5038),MAIN,KSL HOLDINGS BERHAD,Property ,1.556b,1.50,3.75,0.00,10.95
KSSC (5192),MAIN,K.SENG SENG CORPORATION BERHAD,"Industrial Materials, Components & Equipment ",142.77m,0.95,-,0.00,-12.16
KTC (0180),MAIN,KIM TECK CHEONG CONSOLIDATED BERHAD,Consumer Services ,150.01m,0.22,7.05,0.00,10.76
KUB (6874),MAIN,KUB MALAYSIA BERHAD,Industrial Services ,328.31m,0.59,10.55,3.39,6.01
KUCHAI (2186),MAIN,KUCHAI DEVELOPMENT BERHAD,Other Financials ,210.37m,1.70,6.45,1.47,9.21
KYM (8362),MAIN,KYM HOLDINGS BERHAD,Packaging Materials ,63.33m,0.42,4.81,0.00,11.81
L&G (3174),MAIN,LAND & GENERAL BERHAD,Property ,386.51m,0.13,10.83,4.62,3.14
L&PBHD (0268),MAIN,L&P GLOBAL BERHAD,Industrial Services ,210.00m,0.38,10.16,3.47,20.50
LAGENDA (7179),MAIN,LAGENDA PROPERTIES BERHAD,Property ,1.273b,1.52,8.31,4.28,13.86
LAMBO (0018),ACE,LAMBO GROUP BERHAD,Software ,46.21m,0.03,-,0.00,-3.43
LANDMRK (1643),MAIN,LANDMARKS BERHAD,"Travel, Leisure & Hospitality ",134.30m,0.20,-,0.00,-0.03
LAYHONG (9385),MAIN,LAY HONG BERHAD,Agricultural Products ,312.80m,0.42,4.13,0.71,14.34
LBALUM (9326),MAIN,LB ALUMINIUM BERHAD,Metals ,206.55m,0.48,8.04,5.26,6.42
LBICAP (8494),MAIN,LBI CAPITAL BERHAD,Property ,59.66m,0.53,-,3.77,-1.06
LBS (5789),MAIN,LBS BINA GROUP BERHAD,Property ,1.130b,0.72,8.05,3.40,9.41
LCTITAN (5284),MAIN,LOTTE CHEMICAL TITAN HOLDING BERHAD,Chemicals ,2.590b,1.12,-,0.00,-6.68
LEBTECH (9628),MAIN,LEBTECH BERHAD,Construction ,107.82m,0.79,-,0.00,-
LEESK (8079),MAIN,LEE SWEE KIAT GROUP BERHAD,Household Goods ,152.71m,0.91,11.19,3.85,17.30
LEFORM (0266),ACE,LEFORM BERHAD,Metals ,236.96m,0.16,-,5.62,-2.29
LEONFB (5232),MAIN,LEON FUAT BERHAD,Metals ,182.44m,0.54,5.07,2.80,6.10
LFECORP (7170),MAIN,LFE CORPORATION BERHAD,Industrial Engineering ,188.47m,0.17,15.89,0.00,9.73
LGMS (0249),ACE,LGMS BERHAD,Digital Services ,437.76m,0.96,39.02,1.35,12.95
LHI (6633),MAIN,LEONG HUP INTERNATIONAL BERHAD,Agricultural Products ,2.172b,0.60,7.19,5.04,13.49
LIENHOE (3573),MAIN,LIEN HOE CORPORATION BERHAD,Property ,103.10m,0.29,-,0.00,-5.59
LIIHEN (7089),MAIN,LII HEN INDUSTRIES BHD.,Household Goods ,550.80m,1.02,9.51,5.98,10.61
LIONIND (4235),MAIN,LION INDUSTRIES CORPORATION BERHAD,Metals ,215.37m,0.30,-,0.00,-35.11
LIONPSIM (8486),MAIN,LION POSIM BERHAD,Industrial Services ,94.94m,0.41,7.37,0.00,1.66
LKL (0182),ACE,LKL INTERNATIONAL BERHAD,Health Care Equipment & Services ,44.63m,0.12,-,3.04,-4.09
LOTUS (8303),MAIN,LOTUS KFM BERHAD,Food & Beverages ,189.30m,0.19,77.08,0.00,3.00
LPI (8621),MAIN,LPI CAPITAL BHD,Insurance ,4.836b,12.14,15.42,5.44,13.76
LSH (03047),LEAP,LIM SEONG HAI CAPITAL BERHAD,Construction ,621.60m,0.88,-,4.01,-
LSTEEL (9881),MAIN,LEADER STEEL HOLDINGS BERHAD,Metals ,78.56m,0.49,4.14,3.06,5.53
LTKM (7085),MAIN,LTKM BERHAD,Agricultural Products ,208.95m,1.46,4.18,0.00,17.93
LUSTER (5068),MAIN,LUSTER INDUSTRIES BHD.,"Industrial Materials, Components & Equipment ",226.70m,0.08,107.14,0.00,0.78
LUXCHEM (5143),MAIN,LUXCHEM CORPORATION BERHAD,Chemicals ,583.08m,0.55,15.75,2.57,6.07
LYC (0075),ACE,LYC HEALTHCARE BERHAD,Health Care Providers ,128.69m,0.18,-,0.00,-39.50
LYSAGHT (9199),MAIN,LYSAGHT GALVANIZED STEEL BERHAD,Metals ,103.12m,2.48,9.17,1.21,6.26
M&A (7082),MAIN,M & A EQUITY HOLDINGS BERHAD,Other Financials ,701.39m,0.35,-,0.00,-
M&G (5078),MAIN,MARINE & GENERAL BERHAD,Transportation & Logistics Services ,206.31m,0.29,3.41,0.00,52.97
MAA (1198),MAIN,MAA GROUP BERHAD,Insurance ,100.22m,0.38,-,0.00,-5.08
MAG (0095),ACE,MAG HOLDINGS BERHAD,Food & Beverages ,305.46m,0.19,9.02,0.54,4.18
MAGMA (7243),MAIN,MAGMA GROUP BERHAD,Food & Beverages ,203.23m,0.22,-,0.00,-11.98
MAGNA (7617),MAIN,MAGNA PRIMA BERHAD,Property ,224.81m,0.56,-,0.00,-43.48
MAGNI (7087),MAIN,MAGNI-TECH INDUSTRIES BERHAD,Personal Goods ,954.69m,2.20,7.97,4.09,13.66
MAGNUM (3859),MAIN,MAGNUM BERHAD,"Travel, Leisure & Hospitality ",1.625b,1.13,-,5.31,-
MAHSING (8583),MAIN,MAH SING GROUP BERHAD,Property ,3.043b,1.22,14.14,3.28,5.68
MALAKOF (5264),MAIN,MALAKOFF CORPORATION BERHAD,Electricity ,3.200b,0.64,-,8.20,-19.23
MALPAC (4936),MAIN,MALPAC HOLDINGS BERHAD,Plantation ,77.25m,1.03,-,0.00,-0.23
MALTON (6181),MAIN,MALTON BERHAD,Property ,213.90m,0.41,-,0.00,-
MANULFE (1058),MAIN,MANULIFE HOLDINGS BERHAD,Insurance ,423.57m,1.93,5.44,3.63,6.13
MARCO (3514),MAIN,MARCO HOLDINGS BERHAD,Personal Goods ,200.32m,0.19,12.18,21.05,8.21
MASTEEL (5098),MAIN,MALAYSIA STEEL WORKS (KL) BHD,Metals ,220.71m,0.33,92.86,0.00,0.28
MASTER (7029),MAIN,MASTER-PACK GROUP BERHAD,Packaging Materials ,202.09m,3.70,7.95,3.24,14.97
MATANG (0189),ACE,MATANG BERHAD,Plantation ,203.08m,0.09,70.83,1.88,1.20
MATRIX (5236),MAIN,MATRIX CONCEPTS HOLDINGS BERHAD,Property ,2.315b,1.85,9.55,4.46,11.60
MAXIM (4022),MAIN,MAXIM GLOBAL BERHAD,Property ,294.11m,0.40,55.56,5.00,1.07
MAXIS (6012),MAIN,MAXIS BERHAD,Telecommunications Service Providers ,26.786b,3.42,26.97,4.68,17.37
MAYBANK (1155),MAIN,MALAYAN BANKING BERHAD,Banking ,117.411b,9.73,12.56,6.17,9.87
MAYBULK (5077),MAIN,MALAYSIAN BULK CARRIERS BERHAD,Transportation & Logistics Services ,300.00m,0.30,6.05,5.00,9.50
MAYU (7099),MAIN,MAYU GLOBAL GROUP BERHAD,Metals ,126.46m,0.29,19.00,0.00,1.34
MBL (5152),MAIN,MUAR BAN LEE GROUP BERHAD,"Industrial Materials, Components & Equipment ",111.88m,0.45,5.83,0.00,7.57
MBMR (5983),MAIN,MBM RESOURCES BHD,Automotive ,1.818b,4.65,5.43,9.25,15.70
MBN (0280),ACE,MYMBN BERHAD,Consumer Services ,61.76m,0.16,-,0.00,-
MBRIGHT (2097),MAIN,META BRIGHT GROUP BERHAD,"Travel, Leisure & Hospitality ",375.81m,0.15,39.47,0.00,3.80
MBSB (1171),MAIN,MALAYSIA BUILDING SOCIETY BERHAD,Other Financials ,6.537b,0.80,13.29,10.69,5.00
MCEHLDG (7004),MAIN,MCE HOLDINGS BERHAD,Auto Parts ,198.93m,1.61,11.68,1.71,13.60
MCEMENT (3794),MAIN,MALAYAN CEMENT BERHAD,Building Materials ,6.426b,4.90,17.84,1.22,5.92
MCLEAN (0167),ACE,MCLEAN TECHNOLOGIES BERHAD,Industrial Services ,41.41m,0.21,-,0.00,-28.71
MCOM (03022),LEAP,MCOM HOLDINGS BERHAD,Digital Services ,39.15m,0.20,-,0.00,-
MEDIA (4502),MAIN,MEDIA PRIMA BERHAD,Media ,488.05m,0.44,-,3.41,-
MEDIAC (5090),MAIN,MEDIA CHINESE INTERNATIONAL LIMITED,Media ,210.90m,0.13,-,5.36,-5.86
MELATI (5129),MAIN,MELATI EHSAN HOLDINGS BERHAD,Construction ,62.40m,0.52,-,1.92,-
MELEWAR (3778),MAIN,MELEWAR INDUSTRIAL GROUP BERHAD,Metals ,91.66m,0.26,-,0.00,-1.40
MENANG (1694),MAIN,MENANG CORPORATION (M) BERHAD,Property ,315.91m,0.61,15.88,0.00,5.01
MENTIGA (5223),MAIN,MENTIGA CORPORATION BERHAD,Wood & Wood Products ,40.25m,0.58,-,0.00,-5.01
MERCURY (8192),MAIN,MERCURY INDUSTRIES BERHAD,Construction ,64.30m,1.00,-,0.00,-
MERIDIAN (5040),MAIN,MERIDIAN BERHAD,Property ,9.14m,0.04,-,0.00,-
MERSEC (0285),ACE,MERCURY SECURITIES GROUP BERHAD,Other Financials ,348.27m,0.39,-,1.28,-
MESB (7234),MAIN,MESB BERHAD,Personal Goods ,62.05m,0.43,5.64,0.00,10.04
MESTRON (0207),MAIN,MESTRON HOLDINGS BERHAD,Metals ,320.25m,0.32,25.60,0.47,9.62
METROD (6149),MAIN,METROD HOLDINGS BERHAD,Metals ,156.00m,1.30,13.47,4.62,2.15
MFCB (3069),MAIN,MEGA FIRST CORPORATION BERHAD,Electricity ,4.280b,4.33,11.15,1.91,11.98
MFGROUP (03015),LEAP,MANFORCE GROUP BERHAD,Consumer Services ,76.80m,0.24,-,0.00,-
MFLOUR (3662),MAIN,MALAYAN FLOUR MILLS BERHAD,Food & Beverages ,817.84m,0.66,-,4.55,-0.41
MGB (7595),MAIN,MGB BERHAD,Construction ,470.36m,0.80,9.64,1.02,8.78
MGRC (0155),ACE,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,Health Care Equipment & Services ,59.00m,0.43,-,0.00,-
MHB (5186),MAIN,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,"Energy Infrastructure, Equipment & Services ",760.00m,0.48,-,3.16,-38.21
MHC (5026),MAIN,MHC PLANTATIONS BHD,Plantation ,210.30m,1.07,9.55,6.54,6.88
MHCARE (03005),LEAP,METRO HEALTHCARE BERHAD,Health Care Providers ,382.36m,0.62,-,1.16,-
MI (5286),MAIN,MI TECHNOVATION BERHAD,Technology Equipment ,1.638b,1.82,29.69,2.20,5.11
MICROLN (0126),MAIN,MICROLINK SOLUTIONS BERHAD,Digital Services ,348.53m,0.33,66.33,1.54,2.33
MIECO (5001),MAIN,MIECO CHIPBOARD BERHAD,Wood & Wood Products ,650.00m,0.65,-,0.00,-19.52
MIKROMB (0112),ACE,MIKRO MSC BERHAD,Technology Equipment ,236.17m,0.22,8.63,0.23,9.66
MILUX (7935),MAIN,MILUX CORPORATION BERHAD,Household Goods ,119.88m,0.51,-,0.00,-12.06
MINETEC (7219),MAIN,MINETECH RESOURCES BERHAD,Building Materials ,285.57m,0.16,-,0.00,-9.20
MINHO (5576),MAIN,MINHO (M) BERHAD,Wood & Wood Products ,107.02m,0.30,18.75,0.00,1.43
MINOX (0288),ACE,MINOX INTERNATIONAL GROUP BERHAD,"Industrial Materials, Components & Equipment ",99.00m,0.28,-,0.00,-
MISC (3816),MAIN,MISC BERHAD,Transportation & Logistics Services ,34.728b,7.78,16.35,4.63,5.41
MITRA (9571),MAIN,MITRAJAYA HOLDINGS BERHAD,Construction ,205.68m,0.27,14.56,1.89,1.82
MJPERAK (8141),MAIN,MAJUPERAK HOLDINGS BERHAD,Property ,91.01m,0.32,-,0.00,-6.17
MKH (6114),MAIN,MKH BERHAD,Property ,815.30m,1.39,9.16,2.88,4.69
MKLAND (8893),MAIN,MK LAND HOLDINGS BERHAD,Property ,247.49m,0.21,20.30,0.00,0.98
MLAB (0085),ACE,MLABS SYSTEMS BERHAD,Technology Equipment ,14.13m,0.20,-,0.00,-191.57
MMAG (0034),ACE,MMAG HOLDINGS BERHAD,Digital Services ,322.18m,0.19,-,0.00,-39.29
MMIS (03027),LEAP,MMIS BERHAD,"Industrial Materials, Components & Equipment ",300.00m,0.50,-,0.00,-
MMSV (0113),MAIN,MMS VENTURES BERHAD,Technology Equipment ,101.65m,0.49,-,4.08,-4.52
MNC (0103),ACE,M N C WIRELESS BERHAD,Telecommunications Equipment ,31.92m,0.14,-,0.00,-11.86
MNHLDG (0245),ACE,MN HOLDINGS BERHAD,Construction ,282.69m,0.64,20.35,0.00,15.60
MNRB (6459),MAIN,MNRB HOLDINGS BERHAD,Insurance ,1.386b,1.77,5.69,2.51,8.74
MOBILIA (0229),MAIN,MOBILIA HOLDINGS BERHAD,Household Goods ,115.50m,0.17,13.98,3.03,11.80
MPAY (0156),ACE,MANAGEPAY SYSTEMS BERHAD,Software ,99.63m,0.12,-,0.00,-
MPHBCAP (5237),MAIN,MPHB CAPITAL BERHAD,Property ,858.00m,1.20,35.29,4.17,1.42
MPI (3867),MAIN,MALAYSIAN PACIFIC INDUSTRIES BERHAD,Semiconductors ,6.704b,31.94,172.00,1.10,1.78
MPIRE (7943),MAIN,MPIRE GLOBAL BERHAD,Household Goods ,40.43m,0.14,-,0.00,-15.50
MPSOL (03019),LEAP,MATRIX PARKING SOLUTION HOLDINGS BERHAD,Consumer Services ,22.29m,0.10,-,1.70,-
MQTECH (0070),ACE,MQ TECHNOLOGY BERHAD,Semiconductors ,22.81m,0.02,-,0.00,-24.75
MRCB (1651),MAIN,MALAYSIAN RESOURCES CORPORATION BERHAD,Property ,2.949b,0.66,29.20,1.52,2.20
MRDIY (5296),MAIN,MR D.I.Y. GROUP (M) BERHAD,Retailers ,14.171b,1.50,25.30,2.13,32.05
MSC (5916),MAIN,MALAYSIA SMELTING CORPORATION BERHAD,Metals ,961.80m,2.29,11.31,3.06,11.25
MSM (5202),MAIN,MSM MALAYSIA HOLDINGS BERHAD,Food & Beverages ,2.299b,3.27,-,0.00,-3.41
MSNIAGA (5011),MAIN,MESINIAGA BERHAD,Digital Services ,90.00m,1.49,23.07,1.68,3.53
MSTGOLF (5316),MAIN,MST GOLF GROUP BERHAD,Retailers ,373.50m,0.46,20.78,2.20,7.55
MTAG (0213),ACE,MTAG GROUP BERHAD,Industrial Services ,310.14m,0.46,13.42,6.59,10.59
MTEC (0295),ACE,MASTER TEC GROUP BERHAD,"Industrial Materials, Components & Equipment ",1.112b,1.09,-,0.64,-
MTOUCHE (0092),ACE,MTOUCHE TECHNOLOGY BERHAD,Telecommunications Service Providers ,41.70m,0.05,-,0.00,-82.59
MTRONIC (0043),MAIN,METRONIC GLOBAL BERHAD,Industrial Services ,22.97m,0.02,-,0.00,-4.42
MUDA (3883),MAIN,MUDA HOLDINGS BERHAD,Packaging Materials ,442.32m,1.45,-,2.76,-2.45
MUDAJYA (5085),MAIN,MUDAJAYA GROUP BERHAD,Construction ,262.63m,0.14,-,0.00,-15.28
MUH (9539),MAIN,MULTI-USAGE HOLDINGS BERHAD,Property ,25.95m,0.46,24.73,0.00,1.29
MUHIBAH (5703),MAIN,MUHIBBAH ENGINEERING (M) BHD,Construction ,702.72m,0.97,-,0.00,-0.62
MUIIND (3891),MAIN,MALAYAN UNITED INDUSTRIES BERHAD,"Travel, Leisure & Hospitality ",193.55m,0.06,-,0.00,-2.32
MUIPROP (3913),MAIN,MUI PROPERTIES BERHAD,Property ,156.63m,0.21,4.71,4.88,9.26
MULPHA (3905),MAIN,MULPHA INTERNATIONAL BERHAD,"Travel, Leisure & Hospitality ",740.60m,2.38,6.76,0.00,3.04
MYCRON (5087),MAIN,MYCRON STEEL BERHAD,Metals ,122.65m,0.38,125.00,0.00,0.20
MYEG (0138),MAIN,MY E.G. SERVICES BERHAD,Digital Services ,5.971b,0.79,12.25,1.80,21.72
